Researcher,Code,GrantID,Start,End,Title,Value
R Catlow,cat,EP/W014580/1,01/04/2022,31/03/2026,Predictive multiscale free energy simulations of,834869
R Catlow,cat,EP/T026715/2,01/11/2021,28/05/2025,CCP-QC: Collaborative Computational Project - Quantum,140063
R Catlow,cat,EP/W00772X/2,01/11/2021,01/08/2024,Quantum Enhanced and Verified Exascale Computing,1007642
R Catlow,cat,EP/T028629/1,20/07/2021,19/07/2025,Next generation ammonia synthesis: a highly,488797
R Catlow,cat,EP/V011863/1,01/01/2021,31/12/2024,UKRI Interdisciplinary Centre for Circular Chemical,4436401
R Catlow,cat,EP/S030468/1,01/10/2019,30/09/2023,New trimetallic nanoparticles as catalysts for,1530291
R Catlow,cat,EP/R026645/1,01/12/2018,30/11/2023,The UK Catalysis Hub - 'Science':,4010674
R Catlow,cat,EP/R026939/1,01/12/2018,30/11/2023,The UK Catalysis Hub,2201661
R Catlow,cat,EP/R026815/1,01/12/2018,30/11/2023,The UK Catalysis Hub - 'Science':,3683535
R Catlow,cat,EP/R029431/1,01/11/2018,31/12/2022,HIGH END COMPUTING MATERIALS CHEMISTRY,489316
R Catlow,cat,EP/W00772X/1,02/08/2021,31/10/2021,Quantum Enhanced and Verified Exascale Computing,1015931
R Catlow,cat,EP/T026715/1,01/06/2020,31/10/2021,CCP-QC: Collaborative Computational Project - Quantum,163421
R Catlow,cat,EP/R043612/1,01/10/2018,31/03/2022,Boundary Conditions for Atomistic Simulation of,442958
R Catlow,cat,EP/R001847/1,01/01/2018,30/04/2022,Transition metal controlled nitrogen chemistry in,1022120
A Shluger,shl,EP/R029431/1,01/11/2018,31/12/2022,HIGH END COMPUTING MATERIALS CHEMISTRY,489316
A Shluger,shl,EP/R034540/1,01/04/2018,31/03/2023,Defect Functionalized Sustainable Energy Materials: From,470811
B Slater,ben,EP/W030489/1,01/05/2022,30/04/2025,CP2K For Emerging Architectures And Machine,525899
B Slater,ben,EP/R029431/1,01/11/2018,31/12/2022,HIGH END COMPUTING MATERIALS CHEMISTRY,489316
J Harding,har,EP/R029431/1,01/11/2018,31/12/2022,HIGH END COMPUTING MATERIALS CHEMISTRY,489316
J Harding,har,EP/R018820/1,01/03/2018,29/02/2024,Crystallisation in the Real World: Delivering,5436236
N Harrison,nic,EP/R029431/1,01/11/2018,31/12/2022,HIGH END COMPUTING MATERIALS CHEMISTRY,489316
D Willock,wil,EP/R029431/1,01/11/2018,31/12/2022,HIGH END COMPUTING MATERIALS CHEMISTRY,489316
S Islam,isl,EP/S032622/1,02/09/2019,01/09/2023,Supergen Storage Network Plus,1012009
S Islam,isl,EP/R029431/1,01/11/2018,31/12/2022,HIGH END COMPUTING MATERIALS CHEMISTRY,489316
S Islam,isl,EP/R020485/1,01/04/2018,31/08/2021,Towards Self-scrubbing Stable and Scalable Perovskite,317753
M Watkins,mat,EP/W030489/1,01/05/2022,30/04/2025,CP2K For Emerging Architectures And Machine,525899
